DAY,11:10 - 12:05,9:55 - 10:50,3:30 - 4:25,12:05 - 1:00,1:20 - 2:15,2:15 - 3:10,9:00 - 9:55
Monday,"TCS-509 (B, SJ16)","TCS-503 (B, SP06)","XCS-501 (B, NB22)","CSP-501 (B, AK23)","TCS-531 (B, AB01)","CSP-501 (B, AK23)","TMA-502 (B, BJ10)"
Tuesday,"Placement_Class (B, AK26)",,,"Placement_Class (B, AK26)",,,
Wednesday,,"TCS-509 (B, AB17)","TCS-502 (B, AA04)",,"XCS-501 (B, NB22)","TCS-503 (B, AC05)","TMA-502 (B, NJ13)"
Thursday,"TCS-502 (B, SS03)","TMA-502 (B, BJ10)","Library (B, None)","SCS-501 (B, AP24)","TCS-531 (B, AB01)","Library (B, None)","TCS-531 (B, AB01)"
Friday,"TMA-502 (B, JM12)","TCS-531 (B, PK02)","TCS-509 (B, HP18)","Library (B, None)","TCS-503 (B, DP07)","XCS-501 (B, DT20)","TCS-502 (B, AA04)"
Saturday,"Library (B, None)","Library (B, None)","Library (B, None)","Library (B, None)","Library (B, None)","Library (B, None)","Library (B, None)"
