DAY,11:10 - 12:05,2:15 - 3:10,9:00 - 9:55,12:05 - 1:00
Monday,,"CSP-501 (B, R4)",,"CSP-501 (B, R4)"
Tuesday,"CSP-501 (C, R3)","CSP-501 (A, R2)","CSP-501 (A, R2)","CSP-501 (D, R5)"
Wednesday,,,,"CSP-501 (D, R5)"
Thursday,,,,
Friday,,,,
Saturday,,,,
